Kendal Tau=0.730736145333664
idConference, conferenceName, curRank, curValue, oldRank, NPC
1614,MICAI ,219,424,295,347
1711,IS ,257,386,336,306
1710,ISCID ,214,429,295,347
1779,PIC ,255,388,336,306
318,SAICSIT ,261,382,318,324
1615,ICPCA ,211,432,295,347
1835,UBICOMM ,259,384,318,324
1837,SWS ,210,433,295,347
3133,SWOD ,256,387,318,324
1222,ASIAMS ,208,435,295,347
1747,ICCGI ,249,394,336,306
3137,MCTA ,267,376,318,324
1698,ICCET ,207,436,295,347
3123,JBIDI ,248,395,336,306
3139,Virtuelle Maschinen,265,378,318,324
1705,ICCEE ,206,437,295,347
550,ICDCS ,477,165,318,324
1679,INSS ,247,396,318,324
2,SODA ,464,178,318,324
1692,ICCP ,242,401,318,324
1724,CCNC ,241,402,318,324
3121,Mobile Datenbanken und Informationssysteme,237,406,318,324
1584,ITCC ,236,407,318,324
2030,CIE ,203,440,295,347
822,ICHIT ,229,414,318,324
1602,ICICS ,202,441,295,347
1725,ICCSE ,227,416,318,324
1763,ITCS ,201,442,295,347
1780,ETCS ,225,418,318,324
1752,ICECT ,199,444,295,347
3140,Forum Wissenschaft und Technik,221,422,318,324
911,CSCW ,500,142,264,378
1634,ICACTE ,218,425,318,324
2221,MDM ,415,227,264,378
892,AAAI ,486,156,295,347
2007,IOT ,213,430,264,378
950,EKAW ,429,213,264,378
1680,SMAP ,275,368,295,347
1691,ADCOM ,190,453,264,378
889,KDD ,377,265,264,378
1702,KIMAS ,233,410,295,347
2153,INGS ,188,455,264,378
564,FASE ,332,311,264,378
1675,IACC ,180,463,264,378
3129,Büroautomation,251,392,264,378
224,AICPS ,254,389,295,347
2027,CloudCom ,230,413,264,378
2511,APADS ,316,327,264,378
391,ISIP ,246,397,295,347
3144,WOW ,205,438,264,378
2863,RTA ,270,373,264,378
2107,WCNC ,234,409,295,347
2179,NDT ,197,446,264,378
230,S&P ,282,361,264,378
2031,ISDPE ,224,419,295,347
1633,3PGCIC ,196,447,264,378
1620,VL/HCC ,235,408,264,378
1617,CSA ,223,420,295,347
2190,ICCNT ,192,451,264,378
1669,ICCIMA ,217,426,295,347
226,CompSysTech ,222,421,264,378
1706,GCIS ,191,452,264,378
1821,CSO ,215,428,295,347
3131,Objektbanken fürExperten 1992,314,329,264,378
1838,CMC ,187,456,264,378
816,Compute ,212,431,295,347
2023,ISWPC ,216,427,264,378
2176,NSS ,204,439,295,347
1693,CBMI ,243,400,295,347
1729,ICFCC ,185,458,264,378
1625,CSSS ,184,459,264,378
2010,ComputationWorld ,181,462,264,378
2903,ICSDM ,183,460,264,378
405,ICCAD ,177,466,264,378
2012,GEOPROCESSING ,182,461,264,378
513,CONIELECOMP ,176,467,264,378
2191,ICMECG ,175,468,264,378
1786,SISY ,173,470,264,378
2189,SNAPI ,172,471,264,378
1793,ICCCT ,171,472,264,378
2006,NISS ,170,473,264,378
3143,Verwaltung ,167,476,264,378
16,POPL ,511,131,210.5,431.5
522,IFIP ,515,127,210.5,431.5
828,SIGIR ,382,260,210.5,431.5
986,JELIA ,337,306,210.5,431.5
929,ECAI ,379,263,210.5,431.5
597,SAC ,325,318,210.5,431.5
249,OSDI ,420,222,210.5,431.5
243,INFOCOM ,375,267,210.5,431.5
12,ICALP ,358,285,210.5,431.5
75,SPAA ,360,283,210.5,431.5
2554,IWSCA ,153,490,210.5,431.5
1382,MM ,427,215,210.5,431.5
1810,ISA ,152,491,210.5,431.5
978,RULEML ,329,314,210.5,431.5
2165,NOMS Workshops ,151,492,210.5,431.5
25,OR ,385,257,210.5,431.5
2593,NCIS ,150,493,210.5,431.5
1037,RWEB ,312,331,210.5,431.5
1809,CAMAN ,149,494,210.5,431.5
1721,ICCASM ,132,511,210.5,431.5
3,REX ,244,399,210.5,431.5
1997,ACSC ,147,496,210.5,431.5
1697,FGCNS ,131,512,210.5,431.5
334,ISPD ,195,448,210.5,431.5
2705,WCMeB ,145,498,210.5,431.5
1576,ICIP ,231,412,210.5,431.5
1726,NaBIC ,130,513,210.5,431.5
1788,ICMCS ,144,499,210.5,431.5
1636,ITSC ,239,404,210.5,431.5
1598,ICCTD ,127.5,515.5,210.5,431.5
874,ELPUB ,186,457,210.5,431.5
1735,ICCES ,127.5,515.5,210.5,431.5
2702,GEOWS ,200,443,210.5,431.5
2150,ITC ,125,518,210.5,431.5
1768,JCSSE ,143,500,210.5,431.5
1580,VAST ,238,405,210.5,431.5
1803,IACSITSC ,125,518,210.5,431.5
2494,WPDRTS ,194,449,210.5,431.5
1690,APCIP ,141,502,210.5,431.5
2015,U,125,518,210.5,431.5
2151,CHINACOM ,174,469,210.5,431.5
1734,AICI ,140,503,210.5,431.5
2814,WORKS ,253,390,210.5,431.5
1727,GSIS ,122.5,520.5,210.5,431.5
2200,NSWCTC ,139,504,210.5,431.5
3132,AKA ,220,423,210.5,431.5
1586,FUSION ,122.5,520.5,210.5,431.5
2487,SICON ,137,506,210.5,431.5
1581,CMV ,209,434,210.5,431.5
1731,IIS ,120,523,210.5,431.5
2160,EBISS ,136,507,210.5,431.5
3135,IWAISE ,166,477,210.5,431.5
1774,ISCI ,135,508,210.5,431.5
114,ICONS ,161,482,210.5,431.5
1730,SOCPAR ,133,510,210.5,431.5
1695,ICINIS ,119,524,210.5,431.5
1785,ICGEC ,118,525,210.5,431.5
1630,ICCMS ,155,488,210.5,431.5
1604,ISCSCT ,117,526,210.5,431.5
2021,CRiSIS ,129,514,210.5,431.5
1627,ICCDA ,109,534,210.5,431.5
2704,MESOCA ,169,474,210.5,431.5
395,ITRE ,164,479,210.5,431.5
2915,IPSJ Meeting,504,138,88,554
923,FOIS ,463,179,88,554
1790,JCPC ,163,480,210.5,431.5
830,ICML ,394,248,88,554
144,TGC ,160,483,210.5,431.5
1847,GROUP ,426,216,88,554
1992,INCOS ,159,484,210.5,431.5
282,CARDIS ,413,229,88,554
1991,SocialCom ,158,485,210.5,431.5
912,KR ,398,244,88,554
1684,UKSIM ,157,486,210.5,431.5
2927,JIT ,348,295,88,554
386,EIT ,156,487,210.5,431.5
1844,Pervasive Computing,245,398,88,554
891,ECML ,274,369,88,554
2572,ISSA ,154,489,210.5,431.5
834,DL ,381,261,88,554
1284,EXTREME ,355,288,88,554
547,UML ,284,359,88,554
2209,IPTPS ,384,258,88,554
1292,CEC(WECWIS) ,252,391,88,554
267,CHI ,406,236,88,554
541,CMG ,320,323,88,554
2038,ICME(ICMCS) ,289,354,88,554
11,CCS ,278,365,88,554
883,ACL ,416,226,88,554
2008,SMCia ,76,567,88,554
592,ILPS/ISLP/NACLP/SLP ,408,234,88,554
941,AAMAS(Agents) ,376,266,88,554
7,LICS ,232,411,88,554
68,LATIN ,313,330,88,554
867,Digital Documents and Electronic Publishing,266,377,88,554
1998,ICN/ICONS/MCL ,165,478,88,554
545,CP ,321,322,88,554
1975,SDNE ,271,372,88,554
2590,ICNDC ,148,495,88,554
1384,ISMB ,328,315,88,554
2097,MMDBMS ,193,450,88,554
638,School on Formal Methods for the Design of Computer,138,505,88,554
1481,CA ,439,203,88,554
1662,ICIAPW ,134,509,88,554
753,SCW ,179,464,88,554
2457,HPDC ,318,325,88,554
1023,ACMICEC ,115,528,88,554
652,DFG Projects,162,481,88,554
1063,KES ,113,530,88,554
20,PODC ,281,362,88,554
2210,NETWORKS ,116,527,88,554
3102,VNIS ,112,531,88,554
70,TACS ,315,328,88,554
130,TARK ,310,333,88,554
2549,CNSM ,111,532,88,554
422,MOBICOM ,295,348,88,554
1386,DMKD ,272,371,88,554
2621,WMWA ,110,533,88,554
252,USENIX ,422,220,88,554
2573,DCOSS ,107,536,88,554
1408,R&D Management Conference ,198,445,88,554
2635,CCIS ,106,537,88,554
909,ICLP(JICSLP) ,327,316,88,554
69,WACG ,146,497,88,554
1709,ISIMP ,105,538,88,554
572,WETICE ,364,279,88,554
700,EPEW ,228,415,88,554
371,BPSC ,104,539,88,554
976,ICTL ,286,357,88,554
3119,MOMPES ,178,465,88,554
1629,CSAE ,102,541,88,554
29,ESA ,142,501,88,554
2556,AP2PS ,101,542,88,554
2567,NETAPPS ,100,543,88,554
3120,SMT ,114,529,88,554
247,SOSP ,389,253,88,554
2196,IMF ,99,544,88,554
676,REFMOD ,103,540,88,554
528,ICSE ,370,272,88,554
2149,COMSNETS ,98,545,88,554
2773,PRDC ,189,454,88,554
237,NDSS ,309,334,88,554
946,DAI ,168,475,88,554
439,RTSS ,319,324,88,554
215,DCC ,240,403,88,554
836,IUI ,299,344,88,554
1757,MEC ,97,546,88,554
170,Storage and Retrieval for Image and Video Databases,297,346,88,554
1776,CIIP ,96,547,88,554
697,IRI ,121,522,88,554
3138,IWICSS ,95,548,88,554
725,ATVA ,108,535,88,554
2651,APWeb ,93,550,88,554
2130,WOCN ,94,549,88,554
2308,ICMB ,92,551,88,554
1737,CIS ,91,552,88,554
2559,ICNDS ,88,555,88,554
2086,TRIDENTCOM ,90,553,88,554
677,SOCO ,83,560,88,554
2143,SSIRI ,89,554,88,554
3142,ISKE ,81,562,88,554
2539,CPSCom ,87,556,88,554
2128,IDEADH ,78,565,88,554
35,ICCS ,86,557,88,554
3147,MIV ,85,558,88,554
1616,ICCCE ,84,559,88,554
1295,AGP ,82,561,88,554
578,IWSSD ,80,563,88,554
1603,CNMT ,79,564,88,554
58,GG ,77,566,88,554
1608,ICIC ,75,568,88,554
3146,CCMB ,74,569,88,554
1744,IE ,73,570,88,554
244,SAC ,72,571,88,554
274,WPES ,71,572,88,554
2633,DSN,70,573,88,554
1613,AQTR ,69,574,88,554
2874,ESCIW ,68,575,88,554
2537,ComNet ,67,576,88,554
2181,ISPAW ,66,577,88,554
2552,CONGRESS ,65,578,88,554
1815,CMCE ,64,579,88,554
2591,ICCSNA ,63,580,88,554
2609,STFSSD ,62,581,88,554
1787,FCV ,61,582,88,554
1819,CSSIM ,60,583,88,554
726,WSE ,59,584,88,554
1671,CISW ,58,585,88,554
2136,ICISIP ,57,586,88,554
1713,CCCM ,56,587,88,554
2683,WSE ,55,588,88,554
1792,IC,54,589,88,554
1688,ICIIS ,53,590,88,554
1823,ICNIT ,52,591,88,554
2588,ICM2CS ,48.5,594.5,88,554
2569,IUCE ,48.5,594.5,88,554
920,ICGA ,48.5,594.5,88,554
2193,IFCSTA ,48.5,594.5,88,554
3106,SITIS ,38,605,88,554
2158,IFIP ,48.5,594.5,88,554
2601,ICNM ,38,605,88,554
1599,CIS ,48.5,594.5,88,554
2446,GIIS ,38,605,88,554
2268,ENTER,38,605,88,554
2164,CICSYN ,38,605,88,554
1783,ICENCO ,38,605,88,554
1761,ICETECT ,38,605,88,554
1723,CINC ,38,605,88,554
1715,IDAACS ,38,605,88,554
1639,ASILOMAR ,38,605,88,554
1589,VECIMS ,38,605,88,554
1183,AIM ,38,605,88,554
537,AOSD ,38,605,88,554
400,DAC ,38,605,88,554
384,WCE ,38,605,88,554
2620,CSSE ,25,618,88,554
2587,ICCNIT ,25,618,88,554
2579,CCSP ,25,618,88,554
2577,INFRA ,25,618,88,554
2521,ICUFN ,25,618,88,554
2047,MAMMO ,25,618,88,554
3116,IF&GIS ,419,223,471.5,170.5
2029,MIC,25,618,88,554
3066,Engineering and Deployment of Cooperative Information Systems,432,210,468.5,173.5
